seed,method,cooc,eunis_f1,eunis_acc,eunis_base,trait_r2
1,CA,0.280664545361243,0.334992658926105,0.545239968528718,0.147915027537372,-0.0748604380406552
1,PMISVD,0.342464098289121,0.366793560566958,0.57513768686074,0.147915027537372,-0.0564966254933345
1,GloVe,0.260221807692131,0.347958098405569,0.548387096774194,0.147915027537372,-0.0393988708234065
1,AbundPMI,0.370589397443862,0.369367888893578,0.558615263571991,0.147915027537372,-0.0545029002803874
2,CA,0.279481920249886,0.289915072612919,0.523771790808241,0.131537242472266,-0.046206682426619
2,PMISVD,0.34124082481554,0.337224669605244,0.54675118858954,0.131537242472266,-0.0575219638263476
2,GloVe,0.263363114442166,0.294813725927742,0.531695721077655,0.131537242472266,-0.0288022589374103
2,AbundPMI,0.369849275558653,0.323624951383113,0.532488114104596,0.131537242472266,-0.0492656365797243
3,CA,0.282734129480106,0.302204350152244,0.518196202531646,0.143987341772152,-0.0543565592175876
3,PMISVD,0.343129482192422,0.295734459341809,0.531645569620253,0.143987341772152,-0.0683719677082942
3,GloVe,0.261050751610246,0.291668547313877,0.526107594936709,0.143987341772152,-0.0644125334811916
3,AbundPMI,0.369676493607104,0.295852790253594,0.524525316455696,0.143987341772152,-0.0403943613521685
