method,metric,mean,sd,n
ca,cooc_ppmi,0.168884726985537,0.00105912321165008,3
ca,cooc_raw,0.155786417824258,0.00140603164710146,3
ca,link_auc,0.748925914622457,0.00289295066625108,3
ca,eunis_f1,0.348468668710079,0.00743379949219507,3
ca,eunis_acc,0.579314819154413,0.00173858890262664,3
ca,eunis_base,0.146654083352491,0.00225120729527008,3
pmi,cooc_ppmi,0.258368533362973,0.00111140321946209,3
pmi,cooc_raw,0.2517969694747,0.00154062203521528,3
pmi,link_auc,0.90078886723728,0.00224677342357253,3
pmi,eunis_f1,0.335816363092235,0.0147220108612846,3
pmi,eunis_acc,0.585779081255657,0.00450231471315239,3
pmi,eunis_base,0.145944458454296,0.00179076767769557,3
abund_pmi,cooc_ppmi,0.274520832289618,0.000965955381176643,3
abund_pmi,cooc_raw,0.290315874610193,0.000843159750636543,3
abund_pmi,link_auc,0.960335114003918,0.000851368223783255,3
abund_pmi,eunis_f1,0.356229793727267,0.0153185189945968,3
abund_pmi,eunis_acc,0.598325687396674,0.00112217839805133,3
abund_pmi,eunis_base,0.147421926201959,0.00461370724388514,3
glove,cooc_ppmi,0.203273060460233,0.00377488407543467,3
glove,cooc_raw,0.216686116790248,0.00544288786618504,3
glove,link_auc,0.837222644411783,0.00855486880140265,3
glove,eunis_f1,0.360195177434777,0.00639632752376494,3
glove,eunis_acc,0.60719602978792,0.00711490179216584,3
glove,eunis_base,0.145396279520521,0.00149623665823987,3
